Countries and areas,Reference Year(s),2004M,2004F,2005M,2005F,2006M,2006F,2007M,2007F,2008M,2008F,2009M,2009F,2010M,2010F,2011M,2011F,2012M,2012F,2013M,2013F,2014M,2014F,Source 
Brunei Darussalam,2004-2014,95.8,91.5,95.8,91.5,95.8,91.5,95.8,91.5,95.8,91.5,97.3,94.6,97.4,94.6,97.6,95.2,97.8,95.8,98.1,96.3,98.3,96.9,ASEAN Secretariat
Cambodia,2004-2014,80.3,59.9,87.8,71.2,,,85.3,66,84.6,67.7,82.7,65.9,85.1,69.1,87.8,72.6,86.9,73.2,87.7,74.4,84.8,71.8,ASEAN Secretariat
Indonesia ,2004-2014,94,87,94.3,87.5,94.6,89.4,95.2,88.6,95.4,89.1,95.7,89.7,95.4,90.5,95.7,90.6,95.9,90.6,96.5,91.4,97.6,94.1,ASEAN Secretariat
Lao's PDR,2004-2014,82.6,74.7,82.5,63.2,,,80,66.6,,,,,81.2,69.6,,,,,83,74,87.1,72.8,ASEAN Secretariat
Malaysia ,2004-2014,94.7,88.1,94.7,88.4,95.3,89.6,95.1,89.5,94.7,89.5,95.2,90.2,95.3,90.7,95.9,91.8,96,92.1,96.1,92.1,,,ASEAN Secretariat
Myanmar,2004-2014,93.7,92.9,94.5,93.7,94.7,94,94.9,94.6,94.6,95.1,94.6,95.2,94.6,95.3,94.4,95.3,94.8,95.1,94.8,95.4,,,ASEAN Secretariat
Philippines,2004-2014,81.9,84.9,,,92.6,,,93.7,93.1,95.8,95,95.8,,,,,,,88.7,91.7,,,ASEAN Secretariat
Singapore,2004-2014,97.1,90.6,97.3,91.1,97.4,91.6,97.6,92.1,97.7,92.7,97.9,93.3,98,93.8,98.4,94.1,98.5,94.4,98.5,94.6,98.6,94.9,ASEAN Secretariat
Thailand,2004-2014,,,95.6,91.5,,,95.9,92.6,,,,,96.1,96.1,,,,,,,96.6,96.7,ASEAN Secretariat
Viet Nam,2004-2014,93,95.9,,,96.1,91.4,96.2,91.6,96.1,91.3,96.1,92,95.9,91.6,96.2,92.2,96.6,92.9,96.6,93.1,96.4,93,ASEAN Secretariat
